wave,flux,err
9798.188209533691,2.318307112936444e-20,6.958777240845734e-21
9804.5814037323,2.745710861788035e-20,5.283371783567754e-21
9810.974597930906,2.3144626572599018e-20,5.033284851590924e-21
9817.367196083069,2.6523323723470186e-20,5.09521535891492e-21
9823.760390281675,3.0785837995136293e-20,4.832092627146848e-21
9830.153584480286,3.992203186957677e-20,4.604297787946779e-21
9836.546182632446,3.1812531910950135e-20,4.603847357437302e-21
9842.939376831057,3.0344826614327424e-20,4.58153555414098e-21
9849.332571029665,2.60406014108085e-20,4.36328282139825e-21
9855.725169181826,2.3715849786146378e-20,4.369544226995192e-21
9862.118363380432,3.534413950500978e-20,4.442840615324581e-21
9868.510961532593,2.6346678036659162e-20,4.379029665135798e-21
9874.9041557312,2.7052134181938907e-20,4.379343243761818e-21
9881.29734992981,1.5468504178783395e-20,4.31933194393301e-21
9887.68994808197,2.2171463992350178e-20,4.189566002760806e-21
9894.08314228058,2.5882330847108055e-20,4.113772084024919e-21
9900.47574043274,2.8952963337166295e-20,3.984550637756556e-21
9906.868934631348,3.200511799701347e-20,4.349071595542386e-21
9913.261532783508,2.2487166791590553e-20,4.156160440103039e-21
9919.654726982117,2.4866041351711824e-20,4.000683097620106e-21
9926.047325134276,1.1730277763537489e-20,4.157356835210977e-21
9932.440519332886,2.0712550376971035e-20,4.374284645435247e-21
9938.833117485046,2.5315105114007094e-20,4.300832398793751e-21
9945.226311683657,1.8696741481716613e-20,4.39740614966734e-21
9951.618909835814,1.6140809365630033e-20,4.0211319205814776e-21
9958.011507987976,2.3017017910900838e-20,3.999498529315108e-21
9964.404702186584,3.163732632334485e-20,3.89226703892552e-21
9970.797300338743,2.321128202722138e-20,3.989601861211706e-21
9977.190494537354,1.7762191581734835e-20,3.923408210969096e-21
9983.583092689512,2.7169109039022206e-20,3.9627637913258875e-21
9990.079402923584,2.8665100278720503e-20,4.052943559489227e-21
9996.472001075745,2.966827894183831e-20,4.174459315389375e-21
10002.864599227903,2.0496557477505266e-20,4.0397326670783944e-21
10009.257793426514,3.16053779498127e-20,4.057545324512491e-21
10015.650987625122,3.214875388832791e-20,4.103315657864196e-21
10022.042989730837,2.3770503797886263e-20,4.133063375092033e-21
10028.436183929443,2.1575691931225566e-20,3.9631151422544806e-21
10034.828186035156,3.133882085804711e-20,4.029466909652729e-21
10041.221380233765,3.2876652677820685e-20,3.900347135779983e-21
10047.614574432371,2.776308015270699e-20,4.0323481851005876e-21
10054.006576538086,2.6285083072765317e-20,4.098228536285256e-21
10060.399770736694,2.025494115288283e-20,4.1432756915110076e-21
10066.791772842407,2.8063138850894856e-20,3.9895773203697605e-21
10073.184967041016,3.569807392533058e-20,4.089693725163705e-21
10079.578161239624,6.089847263019239e-20,4.234739384969598e-21
10085.970163345335,6.445460604855948e-20,4.160691015879098e-21
10092.363357543947,4.2060152904286346e-20,4.0381342070764695e-21
10098.755359649658,2.98991380866567e-20,4.067256940401453e-21
10105.148553848268,3.015139703683389e-20,4.219264961086854e-21
10111.54055595398,4.1942243886917506e-20,3.9811961832529745e-21
10117.933750152588,2.957355282295053e-20,3.859204168189364e-21
10124.326944351194,2.1467843548190404e-20,3.866160988175828e-21
10130.71894645691,2.5893651957352594e-20,4.070696287411499e-21
10137.112140655518,3.422274459379536e-20,3.886965143878588e-21
10143.50414276123,2.1480232492743204e-20,3.8225640002780816e-21
10149.89733695984,2.6906157804526485e-20,3.778489527089371e-21
10156.28933906555,2.0983348877672087e-20,3.61155128230685e-21
10162.68253326416,2.693526067905439e-20,3.747462436856692e-21
10169.074535369871,3.2556046607876346e-20,3.815838415859684e-21
10175.466537475586,2.3996941963093044e-20,3.723345062236407e-21
10181.859731674194,2.763414291967597e-20,3.6805335469237855e-21
10188.251733779907,3.0944194547181726e-20,3.765934072597114e-21
10194.644927978516,2.8095526388539537e-20,3.708481171947062e-21
10201.036930084229,3.226207659258533e-20,3.707897397906657e-21
10207.430124282835,4.060319696715522e-20,3.702976130321283e-21
10213.82212638855,3.111725287852763e-20,3.648118367312408e-21
10220.215320587158,1.988147903404901e-20,3.617306968074107e-21
10226.607322692871,2.093689232200396e-20,3.7059928213540954e-21
10232.999324798584,4.242337960733407e-20,3.730578545984948e-21
10239.39251899719,6.772977597447103e-20,3.864020297546675e-21
10245.784521102903,3.8055660862144147e-20,3.709500566614207e-21
10252.177715301514,2.6614927242585547e-20,3.6254797860631956e-21
10258.569717407228,2.3597887163197603e-20,3.5492994818900564e-21
10264.96171951294,2.4895620147275577e-20,3.730521901855194e-21
10271.354913711546,1.961242197155055e-20,3.693974749700009e-21
10277.74691581726,2.660089516512756e-20,3.604450228777107e-21
10284.138917922974,1.8713021127736565e-20,3.58732851389863e-21
10290.532112121582,1.6461412276761075e-20,3.8279694661648305e-21
10296.924114227297,2.2578186924543014e-20,3.8583411170601924e-21
10303.31611633301,2.4016644998441612e-20,3.721408873913276e-21
10309.709310531616,1.9613922958256663e-20,3.644652174163343e-21
10316.10131263733,2.2047748660474615e-20,3.791363824420158e-21
10322.493314743042,2.6038293178813913e-20,3.7094926263668336e-21
10328.88650894165,1.790519943410865e-20,3.6392954011144185e-21
10335.278511047363,2.874683492656392e-20,3.788689189938553e-21
10341.670513153076,2.5425130454293114e-20,3.718610168796508e-21
10348.062515258787,2.498994171357629e-20,3.6545295615857976e-21
10354.455709457396,3.316049070099608e-20,3.74577923632058e-21
10360.84771156311,2.989254879641911e-20,3.71852908980648e-21
10367.239713668823,2.177224485271181e-20,3.54719661231166e-21
10373.631715774536,2.0600743944788464e-20,3.511032294464002e-21
10380.024909973145,1.895189137992167e-20,3.687193634407633e-21
10386.416912078856,2.299318955128567e-20,3.542937587964878e-21
10392.80891418457,2.5532435282185126e-20,3.540916244979445e-21
10399.200916290283,1.843372756219389e-20,3.6003324100080716e-21
10405.592918395996,2.7225920001028976e-20,3.5822077747586254e-21
10411.986112594604,2.6138758978598058e-20,3.57007455370298e-21
10418.37811470032,2.6076716582902222e-20,3.597700396877985e-21
10424.77011680603,3.116303153736616e-20,3.5420786838257354e-21
10431.265830993652,2.7120102969256955e-20,3.4907248886277155e-21
10437.657833099369,2.989677449000833e-20,3.5007017465126595e-21
10444.051027297974,2.6053386869382458e-20,3.536010431765971e-21
10450.443029403688,2.195557963515064e-20,3.787756629952142e-21
10456.8350315094,1.5758576130796324e-20,3.500167706797638e-21
10463.227033615112,2.4813281882672188e-20,3.48096710982311e-21
10469.619035720823,3.155236784162013e-20,3.475192850393822e-21
10476.011037826538,3.0260278527823425e-20,3.437518601727745e-21
10482.403039932253,1.7857999698353738e-20,3.418754971443774e-21
10488.795042037964,1.8513939724899326e-20,3.478115288796955e-21
10495.187044143677,2.0991683212616712e-20,3.58564380448157e-21
10501.57904624939,2.5352377816673637e-20,3.359853996445069e-21
10507.972240447998,2.823454221045553e-20,3.303891939518729e-21
10514.364242553713,2.6040474964815126e-20,3.397309689937502e-21
10520.756244659424,2.6789699375784754e-20,3.3838288921690846e-21
10527.148246765137,3.2006324505253966e-20,3.3567403294988218e-21
10533.54024887085,2.6321742066077796e-20,3.373580747597933e-21
10539.932250976562,2.3927242484234792e-20,3.3378288744610097e-21
10546.324253082275,3.099010326353415e-20,3.369875879342197e-21
10552.716255187988,2.2069461997034597e-20,3.3856293845310975e-21
10559.1082572937,2.1329531815142798e-20,3.3041521864362513e-21
